Time_dec Time_JD TSI[W.m2] Unc TSI_after_corr[W.m2] Unc_after_corr
1.980128678986995283e+03 2.444287000000000000e+06 1.361409702785820855e+03 5.677734375000000272e-04 1.361020716242022445e+03 6.079076068588329124e-04
1.980131416837782353e+03 2.444288000000000000e+06 1.361478002785820763e+03 5.560546875000000168e-04 1.361391701271552165e+03 5.953604942301676068e-04
1.980134154688569424e+03 2.444289000000000000e+06 1.361551202785820806e+03 5.550781250000000160e-04 1.361546922797225989e+03 5.943149015111121557e-04
1.980136892539356495e+03 2.444290000000000000e+06 1.361655002785820898e+03 5.523437499999999918e-04 1.361832073635762072e+03 5.913872418977568924e-04
1.980139630390143793e+03 2.444291000000000000e+06 1.361673902785820928e+03 5.810546874999999740e-04 1.361774332445685332e+03 6.221276678379868315e-04
1.980142368240930864e+03 2.444292000000000000e+06 1.361704202785820826e+03 5.525390624999999703e-04 1.361946029917752412e+03 5.915963604415679826e-04
1.980145106091717935e+03 2.444293000000000000e+06 1.361597102785820880e+03 5.531250000000000142e-04 1.361496994565060731e+03 5.922237160730012533e-04
1.980147843942505233e+03 2.444294000000000000e+06 1.361551302785820781e+03 5.517578124999999480e-04 1.361331195002534287e+03 5.907598862663236217e-04
1.980150581793292304e+03 2.444295000000000000e+06 1.361575802785820770e+03 5.488281250000000538e-04 1.361323241379638603e+03 5.876231081091573766e-04
1.980153319644079374e+03 2.444296000000000000e+06 1.361691302785820881e+03 5.486328124999999669e-04 1.361544733468628010e+03 5.874139895653461780e-04
1.980156057494866445e+03 2.444297000000000000e+06 1.361839902785820868e+03 5.498046874999999462e-04 1.361788726417968746e+03 5.886687008282127194e-04
1.980158795345653743e+03 2.444298000000000000e+06 1.362035202785820729e+03 5.498046874999999462e-04 1.362327983112583752e+03 5.886687008282127194e-04
1.980161533196440814e+03 2.444299000000000000e+06 1.362058402785820817e+03 5.783203124999999499e-04 1.362151637370569915e+03 6.192000082246315682e-04
1.980164271047227885e+03 2.444300000000000000e+06 1.362099702785820909e+03 5.466796874999999651e-04 1.362303383787047778e+03 5.853228041272353840e-04
1.980167008898014956e+03 2.444301000000000000e+06 1.362026602785820842e+03 5.472656250000000090e-04 1.361949783011732052e+03 5.859501597586686547e-04
